seq_num,board_time_us,event_type,sensor_id,delta_us,flags,sync_state,confidence,tier,loss_detected,seq_gap
1471,123000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1483,124000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1495,125000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1507,126000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1519,127000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1531,128000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1543,129000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1555,130000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1567,131000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1579,132000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1591,133000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1603,134000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1615,135000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1627,136000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1639,137000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1651,138000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1663,139000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1675,140000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1687,141000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1699,142000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1711,143000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1723,144000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1735,145000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1747,146000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1759,147000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1771,148000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1783,149000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1795,150000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1807,151000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1819,152000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1831,153000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1843,154000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1855,155000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
1867,156000000,PPS_EDGE,ZED-F9P,0,0x00000003,,255,3,false,false
